Unit / Cluster,Standard,Standard Text,Geo?,Primary Source,Type,Creator,Year,Repository,Rights / License,Commercial Use OK?,Link,Link Type,Academic Citation,Alt Text,Verified?,Schedule F (SSP),Fit / Note,Guardrail Check
Creation of New States and Decolonization (1940s-1980s),W.74,"Compare and contrast the causes and effects of modern genocide, including in: Cambodia, Rwanda, and the former Yugoslavia.",Yes,Cambodian genocide / Khmer Rouge (Tuol Sleng),Photograph,press/documentary,1975-1979,U.S. National Archives (NARA),Rights vary by item — verify PD/commercial status at repository,NO,https://catalog.archives.gov/search?q=Cambodia+Khmer+Rouge+genocide+1975,search,The Cambodian genocide under the Khmer Rouge. U.S. National Archives.,Photograph documenting the Khmer Rouge genocide in Cambodia.,NO,SSP.01; SSP.02; SSP.05,Sensitive/rights caution: verify individual item before use.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.74,"Compare and contrast the causes and effects of modern genocide, including in: Cambodia, Rwanda, and the former Yugoslavia.",Yes,"Rwandan genocide, 1994",Photograph / document,UN / U.S. government,1994,U.S. National Archives (NARA),Rights vary by item — verify PD/commercial status at repository,NO,https://catalog.archives.gov/search?q=Rwanda+genocide+1994,search,"The Rwandan genocide, 1994. U.S. National Archives.",Photograph/document relating to the 1994 Rwandan genocide.,NO,SSP.01; SSP.02; SSP.05,Sensitive/rights caution: verify individual item before use.,REVIEW: confirm commercial license
Creation of New States and Decolonization (1940s-1980s),W.75,Explain the causes and effects of German reunification on both West and East Germany.,Yes,"German reunification and the fall of the Berlin Wall, 1989-90",Photograph,U.S. government / press,1989-1990,U.S. National Archives (NARA),Public domain — verify individual item at repository,Yes,https://catalog.archives.gov/search?q=German+reunification+1990+Berlin+Wall,search,"German reunification, 1989-90. U.S. National Archives.",Photograph of Germans celebrating reunification at the Brandenburg Gate.,NO,SSP.01; SSP.02; SSP.05,Verify individual item rights.,OK
Creation of New States and Decolonization (1940s-1980s),W.75,Explain the causes and effects of German reunification on both West and East Germany.,Yes,Map of divided and reunified Germany,Map,U.S. government cartographers,1949-1990,Library of Congress,Public domain (U.S. federal government work),Yes,https://www.loc.gov/search/?q=divided+Germany+East+West+map,search,Map of divided and reunified Germany. Library of Congress.,Map showing East and West Germany and reunification.,NO,SSP.01; SSP.02; SSP.06,,OK
Creation of New States and Decolonization (1940s-1980s),W.76,"Analyze the response of Arab countries to the creation of the State of Israel and the peace processes in the Middle East, including the Camp David and Oslo Accords.",Yes,"The Camp David Accords, 1978",Photograph,White House / U.S. government,1978,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Camp+David+Accords+1978+Sadat+Begin+Carter,search,"The Camp David Accords, 1978. U.S. National Archives.","Photograph of Sadat, Carter, and Begin at Camp David.",NO,SSP.01; SSP.02,,OK
Creation of New States and Decolonization (1940s-1980s),W.76,"Analyze the response of Arab countries to the creation of the State of Israel and the peace processes in the Middle East, including the Camp David and Oslo Accords.",Yes,"The Oslo Accords, 1993",Photograph,White House / U.S. government,1993,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Oslo+Accords+1993+Rabin+Arafat+handshake,search,"The Oslo Accords, 1993. U.S. National Archives.",Photograph of the Rabin-Arafat handshake at the 1993 Oslo signing.,NO,SSP.01; SSP.02,,OK
Understanding the Contemporary World (1980s- present),W.77,"Analyze the demographic changes of countries in post-World War II regions, using population pyramids and census data.",Yes,International population data and population pyramids,Data / statistical graphic,U.S. Census Bureau (International Programs),20th-21st c.,U.S. Census Bureau,Public domain (U.S. federal government work),Yes,https://www.census.gov/search-results.html?q=international+population+pyramid,search,International population pyramids and data. U.S. Census Bureau.,Population pyramid graphics showing age/sex distribution by country.,NO,SSP.01; SSP.02; SSP.06,,OK
Understanding the Contemporary World (1980s- present),W.77,"Analyze the demographic changes of countries in post-World War II regions, using population pyramids and census data.",Yes,Historical world/national population statistics,Data / tables,U.S. Census Bureau,20th-21st c.,U.S. Census Bureau,Public domain (U.S. federal government work),Yes,https://www.census.gov/search-results.html?q=world+population+historical+estimates,search,Historical population statistics. U.S. Census Bureau.,Tables of historical population figures by country.,NO,SSP.01; SSP.02; SSP.03,,OK
Understanding the Contemporary World (1980s- present),W.78,"Explain the challenges of rapid population growth on developing countries (e.g., China and India) and of population decline in developed countries (e.g., Germany, Japan, and Sweden), and give examples of policies implemented to both slow and increase population growth.",Yes,China's one-child policy,Photograph / poster,press / Chinese sources,1979-2015,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=China+one+child+policy+poster,search,China's one-child policy. Library of Congress.,Photograph/poster illustrating China's one-child population policy.,NO,SSP.01; SSP.02,Rights caution: contemporary/PRC materials may be under copyright — verify.,REVIEW: confirm commercial license
Understanding the Contemporary World (1980s- present),W.78,"Explain the challenges of rapid population growth on developing countries (e.g., China and India) and of population decline in developed countries (e.g., Germany, Japan, and Sweden), and give examples of policies implemented to both slow and increase population growth.",Yes,World population growth and decline data,Data / statistical graphic,U.S. Census Bureau,20th-21st c.,U.S. Census Bureau,Public domain (U.S. federal government work),Yes,https://www.census.gov/search-results.html?q=population+growth+decline+projections+country,search,Population growth and decline data. U.S. Census Bureau.,Charts of population growth in developing and decline in developed nations.,NO,SSP.01; SSP.02; SSP.06,,OK
Understanding the Contemporary World (1980s- present),W.79,"Describe the cultural, economic, geographic, and political effects of significant technological, ideological, medical, and scientific developments and breakthroughs of the era.",Yes,"Apollo Moon landing, 1969",Photograph,NASA,1969,NASA Image and Video Library,Public domain (U.S. federal government work),Yes,https://images.nasa.gov/search?q=Apollo+11+Moon+landing+1969,search,"Apollo 11 Moon landing, 1969. NASA.",Astronaut on the Moon during the 1969 Apollo 11 mission.,NO,SSP.01; SSP.02,,OK
Understanding the Contemporary World (1980s- present),W.79,"Describe the cultural, economic, geographic, and political effects of significant technological, ideological, medical, and scientific developments and breakthroughs of the era.",Yes,"Medical and computing breakthroughs (vaccine, personal computer)",Photograph / artifact,U.S. government / Smithsonian,20th c.,Smithsonian Institution,Public domain — verify individual item at repository,Yes,https://www.si.edu/search?edan_q=personal+computer+polio+vaccine+20th+century,search,Modern medical and computing breakthroughs. Smithsonian Institution.,Photograph of a landmark vaccine or early personal computer.,NO,SSP.01; SSP.02,,OK
Understanding the Contemporary World (1980s- present),W.80,"Evaluate the impact of geospatial technologies (such as GPS and GIS) on retail, military, transportation, city planning, and communication.",Yes,GPS / NAVSTAR satellite,Photograph / diagram,U.S. government (NASA/DoD),late 20th-21st c.,NASA Image and Video Library,Public domain (U.S. federal government work),Yes,https://images.nasa.gov/search?q=GPS+NAVSTAR+satellite,search,GPS/NAVSTAR satellite. NASA.,Illustration of a GPS satellite in orbit.,NO,SSP.01; SSP.02,,OK
Understanding the Contemporary World (1980s- present),W.80,"Evaluate the impact of geospatial technologies (such as GPS and GIS) on retail, military, transportation, city planning, and communication.",Yes,Satellite imagery and GIS mapping,Satellite image / map,U.S. Geological Survey / NASA,late 20th-21st c.,U.S. Geological Survey,Public domain (U.S. federal government work),Yes,https://www.usgs.gov/search?keys=satellite+imagery+Landsat+GIS,search,Satellite imagery and GIS. U.S. Geological Survey.,Satellite image of Earth used in GIS applications.,NO,SSP.01; SSP.02; SSP.06,,OK
Understanding the Contemporary World (1980s- present),W.81,"Analyze the economic, political, and social impacts of drug and human trafficking in the contemporary era.",Yes,Trafficking in Persons Report,Government report (text/data),U.S. Department of State,2001-present,"U.S. Dept. of State, Office of the Historian",Public domain (U.S. federal government work),Yes,https://history.state.gov/search?q=trafficking+in+persons,search,Trafficking in Persons Report. U.S. Department of State.,Cover and data pages of the State Dept. Trafficking in Persons Report.,NO,SSP.01; SSP.02; SSP.04,HARD standard: few PD visual primary sources; recommend U.S. government reports (state.gov / govinfo.gov).,OK
Understanding the Contemporary World (1980s- present),W.81,"Analyze the economic, political, and social impacts of drug and human trafficking in the contemporary era.",Yes,International drug trafficking data / maps,Report / data / map,U.S. government (DEA/DoJ),contemporary,Library of Congress,Public domain (U.S. federal government work),Yes,https://www.loc.gov/search/?q=drug+trafficking+international+report+map,search,International drug trafficking data. U.S. government via Library of Congress.,Map/data on international drug trafficking routes.,NO,SSP.01; SSP.02; SSP.06,Contemporary; rely on U.S. government reports for PD content.,OK
Understanding the Contemporary World (1980s- present),W.82,"Analyze how technology has intensified patterns of globalization and led to the idea of space-time compression, containerization, and computer technology.",Yes,Containerized shipping and global ports,Photograph,U.S. government / Smithsonian,late 20th c.,Smithsonian Institution,Public domain — verify individual item at repository,Yes,https://www.si.edu/search?edan_q=container+ship+port+containerization,search,Containerized shipping. Smithsonian Institution.,Photograph of container ships and cranes at a global port.,NO,SSP.01; SSP.02; SSP.06,,OK
Understanding the Contemporary World (1980s- present),W.82,"Analyze how technology has intensified patterns of globalization and led to the idea of space-time compression, containerization, and computer technology.",Yes,Early computer networking / the Internet,Photograph / artifact,U.S. government / Smithsonian,late 20th c.,Smithsonian Institution,Public domain — verify individual item at repository,Yes,https://www.si.edu/search?edan_q=ARPANET+early+internet+computer+networking,search,Early computer networking. Smithsonian Institution.,Photograph of early networked computers / Internet hardware.,NO,SSP.01; SSP.02,Verify individual item rights.,OK
Understanding the Contemporary World (1980s- present),W.83,Explain the goals and consequences of trade organizations and treaties and how they have played a role in the growing global economic system.,Yes,"Signing of NAFTA, 1993",Photograph / document,U.S. government,1993,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=NAFTA+signing+1993,search,"The North American Free Trade Agreement, 1993. U.S. National Archives.",Photograph of the 1993 NAFTA signing ceremony.,NO,SSP.01; SSP.02; SSP.04,,OK
Understanding the Contemporary World (1980s- present),W.83,Explain the goals and consequences of trade organizations and treaties and how they have played a role in the growing global economic system.,Yes,GATT / World Trade Organization founding documents,Treaty / document,GATT/WTO; U.S. government,1947-1995,"U.S. Dept. of State, Office of the Historian",Public domain (U.S. federal government work),Yes,https://history.state.gov/search?q=GATT+World+Trade+Organization+trade+agreement,search,"GATT and the World Trade Organization. Office of the Historian, U.S. Dept. of State.",Documents on the GATT and founding of the WTO.,NO,SSP.01; SSP.02; SSP.04,,OK
Understanding the Contemporary World (1980s- present),W.84,"Identify examples of supranational organizations, and discuss the benefits and drawbacks of membership.",Yes,"Founding of the United Nations and the UN Charter, 1945",Photograph / document,United Nations Conference / U.S. government,1945,"U.S. Dept. of State, Office of the Historian",Public domain (U.S. federal government work),Yes,https://history.state.gov/search?q=United+Nations+Charter+1945+founding,search,"The United Nations and its 1945 Charter. Office of the Historian, U.S. Dept. of State.",Delegates signing the UN Charter in 1945.,NO,SSP.01; SSP.02; SSP.04,,OK
Understanding the Contemporary World (1980s- present),W.84,"Identify examples of supranational organizations, and discuss the benefits and drawbacks of membership.",Yes,The European Union / Maastricht and Rome treaties,Photograph / document,European institutions; U.S. government,1957-1993,"U.S. Dept. of State, Office of the Historian",Public domain — verify individual item at repository,Yes,https://history.state.gov/search?q=European+Union+European+integration+treaty,search,"European integration and the EU. Office of the Historian, U.S. Dept. of State.",Document/photograph on the founding of the European Union.,NO,SSP.01; SSP.02; SSP.04,Verify PD host for EU-origin documents.,OK
Understanding the Contemporary World (1980s- present),W.85,Analyze the causes and effects of an increased role of South and East Asian countries in the global economy.,Yes,"Industrialization of East Asia (Japan, ""Asian Tigers,"" China)",Photograph,U.S. government / Smithsonian,late 20th c.,Smithsonian Institution,Public domain — verify individual item at repository,Yes,https://www.si.edu/search?edan_q=East+Asia+industrialization+economy+Japan,search,Industrialization of East Asia. Smithsonian Institution.,Photograph of modern East Asian manufacturing/industry.,NO,SSP.01; SSP.02; SSP.06,Contemporary; verify individual item rights.,OK
Understanding the Contemporary World (1980s- present),W.85,Analyze the causes and effects of an increased role of South and East Asian countries in the global economy.,Yes,Asian economic growth data,Data / statistical graphic,U.S. government (Census/BEA),late 20th-21st c.,U.S. Census Bureau,Public domain (U.S. federal government work),Yes,https://www.census.gov/search-results.html?q=Asia+trade+economic+growth+data,search,Asian economic and trade data. U.S. Census Bureau.,Charts of trade and GDP growth for South and East Asian economies.,NO,SSP.01; SSP.02; SSP.06,,OK
Understanding the Contemporary World (1980s- present),W.86,Describe the international importance and rapid economic development of the oil-rich Persian Gulf states.,Yes,Persian Gulf oil industry,Photograph,U.S. government / press,20th c.,Library of Congress,Public domain — verify individual item at repository,Yes,https://www.loc.gov/search/?q=Persian+Gulf+oil+field+Saudi+Arabia+industry,search,The Persian Gulf oil industry. Library of Congress.,Photograph of oil derricks and refineries in the Persian Gulf.,NO,SSP.01; SSP.02; SSP.06,Verify individual item rights.,OK
Understanding the Contemporary World (1980s- present),W.86,Describe the international importance and rapid economic development of the oil-rich Persian Gulf states.,Yes,OPEC and the 1973 oil embargo,Document / photograph,U.S. government,1960-1973,"U.S. Dept. of State, Office of the Historian",Public domain (U.S. federal government work),Yes,https://history.state.gov/search?q=OPEC+oil+embargo+1973,search,"OPEC and the 1973 oil embargo. Office of the Historian, U.S. Dept. of State.",Documents/photographs on OPEC and the 1973 oil crisis.,NO,SSP.01; SSP.02; SSP.04,,OK
Understanding the Contemporary World (1980s- present),W.87,Explain implications of the transition from the use of fossil fuels to alternative and renewable energy sources.,Yes,Renewable energy (wind and solar),Photograph,U.S. Dept. of Energy / NREL,late 20th-21st c.,U.S. Department of Energy,Public domain (U.S. federal government work),Yes,https://www.energy.gov/search?query=renewable+energy+wind+solar,search,Renewable energy sources. U.S. Department of Energy.,Photograph of wind turbines and solar panels.,NO,SSP.01; SSP.02; SSP.06,,OK
Understanding the Contemporary World (1980s- present),W.87,Explain implications of the transition from the use of fossil fuels to alternative and renewable energy sources.,Yes,Fossil-fuel energy infrastructure,Photograph,U.S. Dept. of Energy,20th c.,U.S. Department of Energy,Public domain (U.S. federal government work),Yes,https://www.energy.gov/search?query=fossil+fuel+coal+oil+power+plant,search,Fossil-fuel energy infrastructure. U.S. Department of Energy.,Photograph of a coal or oil power plant.,NO,SSP.01; SSP.02; SSP.06,Contrast with renewables to support the transition theme.,OK
Understanding the Contemporary World (1980s- present),W.88,"Describe governing ideologies, conflicts among nations (e.g., Persian Gulf War), and popular religious or democratic movements in the Middle East/North Africa.",Yes,"The Persian Gulf War, 1991",Photograph,U.S. Department of Defense,1991,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=Persian+Gulf+War+1991+Desert+Storm,search,"The Persian Gulf War (Desert Storm), 1991. U.S. National Archives.",Photograph of coalition forces during the 1991 Gulf War.,NO,SSP.01; SSP.02; SSP.06,,OK
Understanding the Contemporary World (1980s- present),W.88,"Describe governing ideologies, conflicts among nations (e.g., Persian Gulf War), and popular religious or democratic movements in the Middle East/North Africa.",Yes,"The Iranian Revolution, 1979",Photograph,press photographers,1979,Library of Congress,Rights vary by item — verify PD/commercial status at repository,NO,https://www.loc.gov/search/?q=Iranian+Revolution+1979+Khomeini,search,"The Iranian Revolution, 1979. Library of Congress.",Photograph of the 1979 Iranian Revolution.,NO,SSP.01; SSP.02; SSP.05,Rights caution: contemporary press photos may be under copyright — verify.,REVIEW: confirm commercial license
Understanding the Contemporary World (1980s- present),W.89,Analyze the causes and consequences of terrorism and international efforts to counteract it.,Yes,"The September 11, 2001 attacks",Photograph,U.S. government (FEMA/Navy),2001,U.S. National Archives (NARA),Public domain (U.S. federal government work),Yes,https://catalog.archives.gov/search?q=September+11+2001+attacks+World+Trade+Center,search,"The September 11, 2001 attacks. U.S. National Archives.","Photograph of the World Trade Center on September 11, 2001.",NO,SSP.01; SSP.02; SSP.05,"Prefer U.S. government (FEMA/Navy) images, which are PD.",OK
Understanding the Contemporary World (1980s- present),W.89,Analyze the causes and consequences of terrorism and international efforts to counteract it.,Yes,The 9/11 Commission Report (2004),Government report (text),National Commission on Terrorist Attacks Upon the United States,2004,U.S. Government Publishing Office (govinfo.gov),Public domain (U.S. federal government work),Yes,https://www.govinfo.gov/app/collection/gpo/,search,"The 9/11 Commission Report, 2004. U.S. Government Publishing Office.",Cover and text of the official 9/11 Commission Report.,NO,SSP.01; SSP.02; SSP.04,Marked search: locate the report within the govinfo GPO collection.,OK
